"Angle","Dmax","d1","d2"
"1",10,3.12846347819678,1.56423170434759,1.56423177384919
"2",10.5,4.0262181921456,2.01310927851485,2.01310891363074
"3",11,4.84170149010778,2.4208507703385,2.42085071976929
"4",11.5,5.58558962288109,2.79279498700581,2.79279463587529
"5",12,6.26677947720936,3.13339002856252,3.13338944864686
"6",12.5,6.89274445018796,3.44637257616578,3.44637187402218
"7",13,7.46980819880598,3.73490421804588,3.73490398076011
"8",13.5,8.00335755625623,4.0016790480773,4.00167850817893
"9",14,8.4980098233212,4.24900523569092,4.24900458763028
"10",14.5,8.95774544774758,4.47887288580358,4.478872561944
"11",15,9.38601416774527,4.69300698095016,4.69300718679511
"12",15.5,9.78582061158278,4.89291027976274,4.89291033182004
"13",16,10.1597938472579,5.07989675781572,5.07989708944221
"14",16.5,10.5102442867731,5.25512154696343,5.25512273980971
"15",17,10.8392105484794,5.41960532754176,5.41960522093762
"16",17.5,11.1484982858745,5.57424924239156,5.57424904348298
"17",18,11.439712544935,5.71985636835803,5.71985617657694
"18",18.5,11.7142848743113,5.85714238383759,5.85714249047375
"19",19,11.9734961549667,5.98674767748422,5.9867484774825
"20",19.5,12.2184959175619,6.1092481207226,6.10924779683925
"21",20,12.450318762232,6.22515942348076,6.22515933875126
"22",20.5,12.669898375469,6.33494916767686,6.3349492077921
"23",21,12.8780795445904,6.43903980719551,6.43903973739492
"24",21.5,13.0756284957714,6.53781409831977,6.53781439745163
"25",22,13.263241822343,6.63162086629208,6.63162095605087
"26",22.5,13.4415542226507,6.72077715448098,6.72077706816973
"27",23,13.6111452286265,6.80557251858066,6.80557271004581
"28",23.5,13.7725450753926,6.88627255482086,6.88627252057177
"29",24,13.9262398371652,6.96311990534984,6.96311993181537
"30",24.5,14.0726759342701,7.03633778017227,7.03633815409788
"31",25,14.2122640993167,7.10613200315239,7.10613209616427
"32",25.5,14.3453828767614,7.17269155090605,7.17269132585539
"33",26,14.472381718676,7.23619088095404,7.23619083772194
"34",26.5,14.5935837300491,7.2967920009744,7.29679172907466
"35",27,14.7092881090547,7.35464377984947,7.3546443292052
"36",27.5,14.8197723211083,7.40988611614604,7.40988620496221
"37",28,14.9252940399874,7.4626466833655,7.46264735662194
"38",28.5,15.0260928846234,7.51304644477368,7.51304643984971
