"Angle","Dmax","d1","d2"
10,3.12846347819678,1.56423183168923,1.56423164650755
10.5,4.0262181921456,2.01310846323495,2.01310972891069
11,4.84170149010778,2.4208509783183,2.4208505117895
11.5,5.58558962288109,2.7927949978533,2.7927946250278
12,6.26677947720936,3.13338915503086,3.13339032217852
12.5,6.89274445018796,3.44637213764374,3.44637231254423
13,7.46980819880598,3.73490403996505,3.73490415884093
13.5,8.00335755625623,4.00167880770791,4.00167874854832
14,8.4980098233212,4.24900461513326,4.24900520818794
14.5,8.95774544774758,4.47887288192085,4.47887256582673
15,9.38601416774527,4.69300710415987,4.6930070635854
15.5,9.78582061158278,4.89291003572342,4.89291057585937
16,10.1597938472579,5.07989688523178,5.07989696202615
16.5,10.5102442867731,5.25512208729344,5.2551221994797
17,10.8392105484794,5.41960501647988,5.41960553199949
17.5,11.1484982858745,5.57424951229785,5.57424877357669
18,11.439712544935,5.71985643257641,5.71985611235856
18.5,11.7142848743113,5.85714250345882,5.85714237085253
19,11.9734961549667,5.98674846641805,5.98674768854868
19.5,12.2184959175619,6.10924793105099,6.10924798651086
20,12.450318762232,6.22515923014012,6.22515953209191
20.5,12.669898375469,6.33494921026024,6.33494916520871
21,12.8780795445904,6.43903981595685,6.43903972863358
21.5,13.0756284957714,6.53781431846275,6.53781417730864
22,13.263241822343,6.6316209209392,6.63162090140375
22.5,13.4415542226507,6.72077717491308,6.72077704773763
23,13.6111452286265,6.80557254114898,6.80557268747749
23.5,13.7725450753926,6.88627254518294,6.88627253020968
24,13.9262398371652,6.96312001514567,6.96311982201954
24.5,14.0726759342701,7.03633812876452,7.03633780550563
25,14.2122640993167,7.10613210811442,7.10613199120222
25.5,14.3453828767614,7.1726913801257,7.17269149663573
26,14.472381718676,7.2361909775598,7.23619074111619
26.5,14.5935837300491,7.29679188792475,7.2967918421243
27,14.7092881090547,7.35464403076197,7.35464407829269
27.5,14.8197723211083,7.40988621067663,7.40988611043164
28,14.9252940399874,7.46264724100916,7.46264679897827
28.5,15.0260928846234,7.51304669150865,7.51304619311475
29,15.1223919762236,7.5611960028289,7.56119597339464
29.5,15.2143993370418,7.6071997038089,7.60719963323285
30,15.3023091492708,7.65115465768484,7.65115449158596
30.5,15.3863028901085,7.6931514828083,7.6931514073002
31,15.4665503569779,7.73327530089525,7.73327505608263
31.5,15.5432105951066,7.77160533234819,7.77160526275836
32,15.6164327381446,7.80821663174113,7.80821610640347
32.5,15.6863567711863,7.84317840094037,7.84317837024591
33,15.753114224425,7.8765569941585,7.87655723026645
33.5,15.8168288046893,7.90841449733473,7.90841430735457
34,15.8776169712544,7.93880849727722,7.93880847397712
34.5,15.9355884615818,7.9677942976543,7.96779416392748
35,15.990846771995,7.99542358558297,7.99542318641205
35.5,16.043489597734,8.02174476266958,8.02174483506443
36,16.0936092363374,8.046804538195,8.04680469814237
36.5,16.1412929578689,8.07064655578626,8.07064640208247
37,16.1866233451249,8.09331148787999,8.09331185724485
37.5,16.2296786066249,8.11483915751283,8.11483944911192
38,16.2705328648898,7.92167263553207,7.92167271505636
38.5,16.3092564222582,7.71813195655501,7.71813195670763
39,16.3459160062526,7.5223151319448,7.52231516947752
39.5,16.3805749963103,7.33380139753579,7.33380144033589
40,16.4132936335082,7.15220131128193,7.15220126142397
40.5,16.444129214752,6.97715230956709,6.97715237363413
41,16.4731362727548,6.80831768285048,6.80831762634088
41.5,16.5003667430049,6.64538318608442,6.64538315813724
42,16.5258701188064,6.48805643412821,6.48805632757109
42.5,16.5496935953746,6.33606364921291,6.33606359915192
43,16.5718822038775,6.18914871754139,6.18914856965455
43.5,16.5924789362323,6.04707274279378,6.04707272118922
44,16.6115248613915,5.90961067280462,5.90961031991459
44.5,16.6290592337897,5.7765511290777,5.77655141994746
45,16.6451195945587,5.64769696387825,5.64769702865317
45.5,16.6597418660687,5.52286149634929,5.52286131932294
46,16.6729604403027,5.40186861282439,5.40186852222239
46.5,16.6848082615284,5.28455373205826,5.28455384143434
47,16.6953169036925,5.17076039970077,5.17076028655297
47.5,16.7045166429255,5.06034143393719,5.06034152544296
48,16.7124365255148,4.953157571745,4.95315778226394
48.5,16.7191044316715,4.84907747924555,4.8490774057389
49,16.7245471353932,4.74797637228077,4.74797647645717
49.5,16.7287903606967,4.6497360392738,4.64973596352352
50,16.7318588344768,4.55424479939269,4.5542448108064
50.5,16.7337763362236,4.46139648211684,4.46139651703046
51,16.7345657448144,4.37109034710111,4.37109015648129
51.5,16.7342490825787,4.28323037614218,4.28323038499026
52,16.7328475568206,4.19772575581836,4.19772610399845
52.5,16.7303815989674,4.11449020873379,4.11449027860253
53,16.7268709015009,4.03344104438406,4.03344108670132
53.5,16.722334452817,3.95449972646657,3.95449978262603
54,16.7167905701487,3.87759175512929,3.87759149491864
54.5,16.710256930674,3.80264531664699,3.80264534960251
55,16.7027506009284,3.7295930210981,3.72959276936038
55.5,16.6942880646241,3.65836925263305,3.6583692917072
56,16.6848852489804,3.588912366288,3.58891249365487
56.5,16.6745575496533,3.52116334367573,3.5211632281337
57,16.6633198543527,3.45506496768057,3.4550648956023
57.5,16.6511865652271,3.3905633331349,3.39056338375937
58,16.6381716200881,3.32760659241205,3.32760669458215
58.5,16.6242885125472,3.26614505250161,3.26614486180019
59,16.6095503111263,3.20613084136788,3.20613085444066
59.5,16.5939696774047,3.14751894179287,3.14751872335592
60,16.5775588832577,3.09026473994588,3.09026470851301
