"Angle","Dmax","d1","d2"
"1",10,3.12846347819678,1.56423145561903,1.56423202257777
"2",10.5,4.0262181921456,2.01310876277575,2.01310942936986
"3",11,4.84170149010778,2.42085074845604,2.42085074165174
"4",11.5,5.58558962288109,2.79279491604244,2.79279470683866
"5",12,6.26677947720936,3.13338938936146,3.13339008784792
"6",12.5,6.89274445018796,3.44637237912125,3.44637207106672
"7",13,7.46980819880598,3.73490417051875,3.73490402828723
"8",13.5,8.00335755625623,4.00167886417568,4.00167869208055
"9",14,8.4980098233212,4.24900487021703,4.24900495310417
"10",14.5,8.95774544774758,4.47887287267636,4.47887257507123
"11",15,9.38601416774527,4.6930073258232,4.69300684192208
"12",15.5,9.78582061158278,4.89291031788814,4.89291029369465
"13",16,10.1597938472579,5.07989667693885,5.07989717031907
"14",16.5,10.5102442867731,5.25512178748163,5.25512249929151
"15",17,10.8392105484794,5.41960551088594,5.41960503759343
"16",17.5,11.1484982858745,5.57424917975068,5.57424910612386
"17",18,11.439712544935,5.71985628961647,5.71985625531851
"18",18.5,11.7142848743113,5.85714236416585,5.85714251014549
"19",19,11.9734961549667,5.98674828982541,5.98674786514132
"20",19.5,12.2184959175619,6.10924798777083,6.10924792979102
"21",20,12.450318762232,6.22515935915756,6.22515940307446
"22",20.5,12.669898375469,6.33494922461455,6.3349491508544
"23",21,12.8780795445904,6.43904001617638,6.43903952841404
"24",21.5,13.0756284957714,6.53781433832147,6.53781415744993
"25",22,13.263241822343,6.63162108994483,6.63162073239812
"26",22.5,13.4415542226507,6.7207771408363,6.72077708181441
"27",23,13.6111452286265,6.80557233531229,6.80557289331417
"28",23.5,13.7725450753926,6.88627226286466,6.88627281252797
"29",24,13.9262398371652,6.96312005511388,6.96311978205133
"30",24.5,14.0726759342701,7.0363381318982,7.03633780237195
"31",25,14.2122640993167,7.1061319755488,7.10613212376786
"32",25.5,14.3453828767614,7.17269146486206,7.17269141189937
"33",26,14.472381718676,7.236190840257,7.23619087841898
"34",26.5,14.5935837300491,7.29679187113607,7.29679185891298
"35",27,14.7092881090547,7.35464385748297,7.3546442515717
"36",27.5,14.8197723211083,7.40988654392892,7.40988577717935
"37",28,14.9252940399874,7.46264697621947,7.46264706376795
"38",28.5,15.0260928846234,7.51304613550681,7.51304674911657
"39",29,15.1223919762236,7.56119580535472,7.56119617086882
"40",29.5,15.2143993370418,7.60719963733034,7.60719969971141
"41",30,15.3023091492708,7.65115434380096,7.65115480546984
"42",30.5,15.3863028901085,7.69315168086101,7.69315120924749
"43",31,15.4665503569779,7.73327530718628,7.73327504979159
"44",31.5,15.5432105951066,7.77160518059389,7.77160541451267
"45",32,15.6164327381446,7.808216405543,7.80821633260161
"46",32.5,15.6863567711863,7.84317830708038,7.8431784641059
"47",33,15.753114224425,7.87655722521712,7.87655699920783
"48",33.5,15.8168288046893,7.90841462950591,7.90841417518339
"49",34,15.8776169712544,7.93880862270153,7.93880834855287
"50",34.5,15.9355884615818,7.96779432272284,7.96779413885895
"51",35,15.990846771995,7.99542347753092,7.9954232944641
"52",35.5,16.043489597734,8.02174484836332,8.02174474937071
