"Angle","Dmax","d1","d2","d3"
"1",10,3.12846347819678,3.12846347798509,2.8351532745118e-10,3.12846347799343
"2",10.5,4.0262181921456,4.02621819197818,3.2128729665552e-11,4.02621819196545
"3",11,4.84170149010778,4.84170148733811,1.58105057097797e-09,4.84170148855958
"4",11.5,5.58558962288109,5.58558961329196,1.22690779836192e-08,5.58558961841097
"5",12,6.26677947720936,6.26677947606552,1.51520351154025e-09,6.26677947579292
"6",12.5,6.89274445018796,6.89274444158077,1.03469899718855e-08,6.89274444397101
"7",13,7.46980819880598,7.46980819095898,2.65777337559471e-09,7.46980819672483
"8",13.5,8.00335755625623,8.00335752599018,3.07495465545719e-08,8.00335751737105
"9",14,8.4980098233212,8.49800980208254,1.87556362038703e-08,8.49800979997245
"10",14.5,8.95774544774758,8.957745399213,3.99459751844786e-08,8.95774543447932
"11",15,9.38601416774527,9.38601399691593,1.48161200950223e-07,9.38601403106284
"12",15.5,9.78582061158278,9.78582056650123,3.52983088945927e-08,9.78582057039968
"13",16,10.1597938472579,10.1597938387381,1.28771128078495e-08,10.1597938389825
"14",16.5,10.5102442867731,10.5102442148156,5.92414582147335e-08,10.5102442027667
"15",17,10.8392105484794,10.839210091461,4.5374258950856e-07,10.8392102619238
"16",17.5,11.1484982858745,11.1484982099476,2.25556199114112e-08,11.1484981662524
"17",18,11.439712544935,11.439712314103,2.32460378920813e-07,11.4397123691689
"18",18.5,11.7142848743113,11.714284396186,4.33277723234904e-07,11.7142847405195
"19",19,11.9734961549667,11.9734955651637,5.74891569909656e-07,11.9734956687666
"20",19.5,12.2184959175619,12.218492198909,5.19760708405988e-06,12.2184908259398
"21",20,12.450318762232,12.4503155506131,2.90429611350586e-06,12.4503155139574
"22",20.5,12.669898375469,12.6698976912068,7.01041128124234e-07,12.6698977730895
"23",21,12.8780795445904,12.690135858673,0.18794346035841,12.6901359075279
"24",21.5,13.0756284957714,12.4170816894777,0.658546689824246,12.4170828744184
"25",22,13.263241822343,12.1550301005055,1.10820922533877,12.1550260972559
"26",22.5,13.4415542226507,11.9143603138689,1.52719381196109,11.9143604212173
"27",23,13.6111452286265,11.6845185752346,1.9266261228232,11.6845191360493
"28",23.5,13.7725450753926,11.4684712469175,2.30406919946218,11.4684757334496
"29",24,13.9262398371652,11.2596787852495,2.66656066447975,11.2596792027234
"30",24.5,14.0726759342701,11.0706619994162,3.00201395002428,11.0706615537124
"31",25,14.2122640993167,10.8865259779132,3.32573762557236,10.8865266097662
"32",25.5,14.3453828767614,10.7123266258852,3.63305619157926,10.7123247413574
"33",26,14.472381718676,10.5481079457905,3.92427386635583,10.5481079449359
"34",26.5,14.5935837300491,10.3901161642984,4.20347047204102,10.3901108528756
"35",27,14.7092881090547,10.2411984438243,4.46808744059442,10.24120047544
"36",27.5,14.8197723211083,10.0960534141595,4.72371905915399,10.0960535769944
"37",28,14.9252940399874,9.95916996031253,4.96612369071789,9.95917065434949
"38",28.5,15.0260928846234,9.83054020889111,5.19555241195517,9.83054015876246
"39",29,15.1223919762236,9.70601992290688,5.41637210257274,9.70601965279677
"40",29.5,15.2143993370418,9.58834894120526,5.62604697810511,9.58835039018255
"41",30,15.3023091492708,9.47209680108294,5.83021246029699,9.47209568689186
"42",30.5,15.3863028901085,9.36305182225916,6.02325033337663,9.3630479727164
"43",31,15.4665503569779,9.26168658106776,6.2048632725185,9.26168720244894
"44",31.5,15.5432105951066,9.16111724081701,6.38209206518151,9.16111928135911
"45",32,15.6164327381446,9.0649151845849,6.55151742272243,9.06491532406553
"46",32.5,15.6863567711863,8.96970067057356,6.71664979472638,8.96970245995743
"47",33,15.753114224425,8.88468110222798,6.86843134743086,8.88468129542792
"48",33.5,15.8168288046893,8.79765959586785,7.01916917444402,8.79765873168176
"49",34,15.8776169712544,8.71417106445811,7.16344289576826,8.7141713139688
"50",34.5,15.9355884615818,8.63545106842347,7.30013740469935,8.6354508946191
"51",35,15.990846771995,8.55905047869367,7.43179507042742,8.55905035555895
"52",35.5,16.043489597734,8.48499550522113,7.55849353097719,8.48499396881763
"53",36,16.0936092363374,8.41426912866112,7.6793388925791,8.41426599441223
"54",36.5,16.1412929578689,8.34425351010622,7.79703937710568,8.34425108787621
"55",37,16.1866233451249,8.27670068115757,7.9099199680182,8.27670156631741
"56",37.5,16.2296786066249,8.21279096036714,8.01688730209756,8.2127900237049
"57",38,16.2705328648898,8.1498566117212,8.12067510712996,8.14985762215295
"58",38.5,16.3092564222582,7.95886880050708,7.95886846947598,7.95886873233892
"59",39,16.3459160062526,7.74764560817974,7.74764562227284,7.74764585434245
"60",39.5,16.3805749963103,7.54494088958084,7.54494088510546,7.5449409337157
"61",40,16.4132936335082,7.35024700254865,7.35024691988575,7.35024707627143
"62",40.5,16.444129214752,7.16309819690682,7.16309811145209,7.16309817018538
"63",41,16.4731362727548,6.98306535258148,6.98306551536981,6.98306555890784
"64",41.5,16.5003667430049,6.80975360855269,6.80975349865059,6.80975339987556
"65",42,16.5258701188064,6.64279574825573,6.6427960461808,6.6427961801484
"66",42.5,16.5496935953746,6.48185437927458,6.48185465889935,6.48185477485841
"67",43,16.5718822038775,6.32661503211524,6.32661512024544,6.32661511374661
"68",43.5,16.5924789362323,6.17678521217679,6.17678526124725,6.17678525364948
"69",44,16.6115248613915,6.03209354706609,6.03209306129084,6.03209339053922
"70",44.5,16.6290592337897,5.89228619061613,5.89228593835473,5.89228596393328
"71",45,16.6451195945587,5.7571265780843,5.75712663907546,5.75712654115589
"72",45.5,16.6597418660687,5.62639410233917,5.62639403223314,5.62639396743176
"73",46,16.6729604403027,5.49988090027761,5.49988097122126,5.49988090643284
"74",46.5,16.6848082615284,5.37739338958919,5.37739354800041,5.37739337544288
"75",47,16.6953169036925,5.25874957555051,5.25874932022182,5.25874944437883
"76",47.5,16.7045166429255,5.14377792972723,5.14377791049975,5.14377813414293
"77",48,16.7124365255148,5.03231789955161,5.03231789443195,5.03231782627291
"78",48.5,16.7191044316715,4.92421791051313,4.92421787004637,4.92421788830349
"79",49,16.7245471353932,4.81933508684352,4.81933498733376,4.81933481135436
"80",49.5,16.7287903606967,4.71753483111601,4.71753463419958,4.71753478369107
"81",50,16.7318588344768,4.61868988519029,4.61868989544476,4.61868996686691
"82",50.5,16.7337763362236,4.52267995685311,4.52267987809588,4.52268010945141
"83",51,16.7345657448144,4.4293918956055,4.42939167374812,4.42939167272566
"84",51.5,16.7342490825787,4.3387170761306,4.33871720220748,4.33871708961619
"85",52,16.7328475568206,4.25055430450472,4.25055438471798,4.25055427097288
"86",52.5,16.7303815989674,4.16480665200847,4.16480680937615,4.16480650807537
"87",53,16.7268709015009,4.08138208217413,4.08138227148839,4.08138231059822
"88",53.5,16.722334452817,4.0001939167224,4.00019398651795,4.00019385212916
"89",54,16.7167905701487,3.92115878958782,3.92115906528597,3.92115884552074
"90",54.5,16.710256930674,3.84419856393464,3.84419855308375,3.84419859467509
"91",55,16.7027506009284,3.76923763418016,3.76923761874493,3.76923782221388
"92",55.5,16.6942880646241,3.69620515247225,3.69620511315814,3.69620523462992
"93",56,16.6848852489804,3.62503281258675,3.62503261994339,3.625032804726
"94",56.5,16.6745575496533,3.55565584711553,3.55565559040505,3.55565558655537
"95",57,16.6633198543527,3.48801228248848,3.48801243809383,3.48801252002445
"96",57.5,16.6511865652271,3.42204366701152,3.42204343386891,3.42204352280921
"97",58,16.6381716200881,3.35769282061478,3.35769266638391,3.35769269050024
"98",58.5,16.6242885125472,3.29490638785542,3.29490639137879,3.2949064549515
"99",59,16.6095503111263,3.23363279115608,3.23363279693674,3.23363264562442
"100",59.5,16.5939696774047,3.17382268248826,3.17382259480187,3.17382275825004
"101",60,16.5775588832577,3.11542887770212,3.11542880935981,3.11542897944645
